FIRE_NAME,FIRE_SIZE,STATE,FIRE_YEAR,STAT_CAUSE_DESCR
LIGHTNING,1950.0,ID,2006,Lightning
CHEYENNE RIVER,2000.0,WY,2006,Lightning
BALD,1250.0,CA,2006,Lightning
CUMMINGS,4242.0,WY,2006,Lightning
NORTH ELK,6099.0,ID,2006,Lightning
COLUMBIA COMPLEX,109259.0,WA,2006,Lightning
EAST ROARING,3185.0,ID,2006,Lightning
SAGE,4871.0,CA,2006,Lightning
RED MOUNTAIN,35482.0,ID,2006,Campfire
EAST LANGDON,1893.0,ID,2006,Lightning
BARE PEAK,1370.0,MT,2006,Lightning
SOMES,15710.0,CA,2006,Lightning
LITTLE WEST FORK,870.0,MT,2006,Lightning
LAKE OF THE ROCKS,949.0,MT,2006,Lightning
MOUNT AURA,1317.0,ID,2006,Lightning
TROUT CREEK,4525.0,ID,2006,Lightning
BURNT,2100.0,ID,2006,Lightning
JIM CREEK,12946.0,OR,2006,Lightning
HARVEY,1247.0,CA,2006,Lightning
PINNACLES,2750.0,CA,2006,Arson
SUMMIT,2500.0,ID,2006,Lightning
RATTLESNAKE,43600.0,ID,2006,Lightning
RALSTON,8422.0,CA,2006,Miscellaneous
HUNTER,16296.0,CA,2006,Lightning
HANSON,744.0,ID,2006,Lightning
SLIDE CREEK,1430.0,ID,2006,Lightning
SLED,1700.0,ID,2006,Lightning
BASSETTS,2114.0,CA,2006,Miscellaneous
HANCOCK,10770.0,CA,2006,Lightning
PUZZLE,6340.0,OR,2006,Miscellaneous
TITUS,5792.0,CA,2006,Lightning
DUNCE WFU,7898.0,ID,2006,Lightning
SULPHUR CREEK  #2,850.0,AR,2006,Arson
DAY,162702.0,CA,2006,Debris Burning
HORSE HEAVEN,2298.0,ID,2006,Lightning
BLISTER,790.0,OR,2006,Lightning
PERKINS,14988.0,CA,2006,Miscellaneous
KINGSLEY,6854.0,CA,2006,Lightning
BOULDER,2920.0,CA,2006,Lightning
PANTHER,904.0,CA,2006,Lightning
PIGEON,35101.0,CA,2006,Miscellaneous
TRIPOD COMPLEX,113011.0,WA,2006,Lightning
VAN PEAK,1813.0,WA,2006,Lightning
SPUR PEAK,62173.0,WA,2006,Lightning
CEDAR CREEK,1661.0,WA,2006,Lightning
POLLALIE,969.0,WA,2006,Lightning
TATOOSH,51671.0,WA,2006,Lightning
CLEAR CREEK,11615.0,OR,2006,Lightning
BOWEN,19482.0,ID,2006,Lightning
RED MOUNTAIN,930.0,OR,2006,Lightning
TWIN BUTTE,1190.0,ID,2006,Lightning
TAMARACK WFU,2360.0,ID,2006,Lightning
PETTIBONE,682.0,ID,2006,Lightning
SIXTY TWO RIDGE,1405.0,ID,2006,Lightning
BISHOP CREEK,2650.0,ID,2006,Lightning
LICK CREEK WFU,1038.0,ID,2006,Lightning
MINK,786.0,ID,2006,Lightning
BRUSHY,2772.0,ID,2006,Lightning
KRASSEL,1100.0,ID,2006,Lightning
SHEEP CREEK WFU,3300.0,ID,2006,Lightning
PHOEBE 2,1950.0,ID,2006,Lightning
RAINBOW,3383.0,ID,2006,Lightning
TWIN LAKES,1539.0,ID,2006,Lightning
VAN METER,3300.0,ID,2006,Lightning
KETTLE 2,798.0,ID,2006,Lightning
