STATE,FIRE_YEAR,AVERAGE_FIRE_SIZE,average_days_to_control,average_hours_to_control,TOTAL_FIRE_SIZE,total_days_to_control,total_hours_to_control
AZ,2013,62.013741741741974,2.0198634388578522,51.73350000000005,103252.88000000038,3254.0,82773.60000000008
AZ,2014,71.84447100424705,1.2726626377532884,32.96303443328537,203176.16400001067,3580.0,91900.93999999962
AZ,2015,40.7997564807583,0.7113459399332592,31.345659133709944,155814.27000001594,2558.0,66578.17999999992
CA,1992,27.364515831254895,0.4462588349987814,14.51862749878107,296439.7999999843,1831.0,59555.40999999995
CA,1993,38.874885126960116,0.30920245398773005,10.535034793286943,321495.2999999602,756.0,25737.090000000004
CA,1994,47.13943840997873,0.5741222366710013,17.486586475942783,407944.69999995595,1766.0,53788.74
CA,1995,29.273635008808064,0.405531914893617,12.546484874307618,216068.70000001232,953.0,29446.59999999998
CA,1996,77.08606780769136,0.5246730083234245,15.840253051503415,707110.4999999529,1765.0,53207.409999999974
CA,1997,40.92891551071522,0.44788213627992635,13.63878138847861,324566.2999999717,1216.0,36933.82000000008
CA,1998,23.311931818183332,0.7081065597250071,19.643921681543297,160013.1000000104,2472.0,68223.33999999987
CA,1999,90.24953984286435,0.6305349629332799,17.88172149344095,804123.3999999213,3147.0,88603.9299999999
CA,2000,36.21556542926933,0.6809686759673599,18.881679915209315,252676.00000001214,2587.0,71259.45999999995
CA,2001,42.798423368365754,0.6271148708815673,17.73728874024522,350176.6999999686,2817.0,79551.7399999998
CA,2002,72.19160241132002,0.5175531914893617,14.904,514942.6999999457,1946.0,55890.0
CA,2003,130.41388221912652,1.0042223786066151,26.964187087653148,1031965.0499999482,4281.0,114436.00999999997
CA,2004,40.589912375302745,0.479539641943734,14.05815566401234,301095.9699999958,1875.0,54728.40000000004
CA,2005,38.741370170710915,0.6137581054412179,18.110808383233564,258714.8700000075,2177.0,60490.10000000011
CA,2006,98.26042074718191,1.3664884963978619,36.09526129108543,812711.9399999416,5880.0,152646.86000000028
CA,2007,102.97425081272124,0.7330804551806748,19.377393915132103,1045291.6199999333,3672.0,96809.45999999999
CA,2008,184.6789256198534,4.122748219522413,98.45935294117659,1430153.6000001447,9841.0,234333.26000000027
CA,2009,65.61239769452078,0.8117218341937443,22.278551032806774,455350.0399999742,2673.0,73340.9899999999
