STATE,FIRE_YEAR,average_days_to_control,total_days_to_control
FL,2008,2.34959349593496,578.0
FL,2009,2.1538461538461537,476.0
FL,2010,1.7587532023911188,4119.0
FL,2011,1.044811790479984,5246.0
FL,2012,1.0307244501940491,3187.0
FL,2013,0.6483975847654435,1396.0
FL,2014,0.3046948356807512,649.0
FL,2015,0.8596908442330559,2169.0
GA,1992,0.0441610946975587,284.0
GA,1993,0.056757950530035337,514.0
GA,1994,0.059137326627038564,388.0
GA,1995,0.037574076409027865,298.0
GA,1996,0.03708219038910901,365.0
GA,1997,0.056203164029975015,405.0
GA,1998,0.12616201859229748,95.0
GA,1999,2.2674418604651163,195.0
GA,2000,0.030536529680365295,321.0
GA,2001,0.06331100879028882,605.0
GA,2002,0.022185175686073352,173.0
GA,2003,1.0606060606060606,35.0
GA,2004,1.4929577464788732,106.0
GA,2005,0.06976744186046513,3.0
GA,2006,1.4022988505747127,122.0
GA,2007,3.5193798449612403,454.0
GA,2008,1.2459016393442623,76.0
GA,2009,0.30952380952380953,13.0
GA,2010,0.42424242424242425,14.0
GA,2011,0.09676652401331433,814.0
GA,2012,0.0466949666464524,231.0
GA,2013,0.021558361564521098,70.0
GA,2014,0.03746610796154794,152.0
GA,2015,0.07547974413646055,177.0
HI,1992,9.0,288.0
HI,1993,22.09090909090909,243.0
HI,1994,50.28571428571429,352.0
HI,1995,34.0,272.0
HI,1996,1.3333333333333333,8.0
HI,1997,19.25,231.0
HI,1998,0.5714285714285714,4.0
HI,1999,0.0,0.0
HI,2000,2.2,11.0
HI,2001,0.0,0.0
HI,2002,25.5,306.0
HI,2003,32.625,261.0
HI,2004,2.5,5.0
HI,2005,1.25,5.0
HI,2006,,0.0
HI,2007,2.333333333333333,14.0
HI,2008,1.0,5.0
HI,2009,17.0,17.0
HI,2010,0.8888888888888888,8.0
HI,2011,14.0,70.0
HI,2012,4.0,28.0
HI,2013,0.25,2.0
HI,2014,0.0,0.0
HI,2015,9.666666666666666,29.0
IA,1992,0.0,0.0
IA,1993,0.0,0.0
IA,1994,0.0,0.0
IA,1995,0.0,0.0
IA,1996,0.0,0.0
IA,1997,0.0,0.0
IA,1998,0.0,0.0
IA,1999,0.0,0.0
IA,2000,0.0,0.0
IA,2001,0.0,0.0
IA,2002,0.0,0.0
IA,2003,0.21875,7.0
IA,2004,0.027027027027027032,1.0
IA,2005,0.0,0.0
IA,2006,0.0,0.0
IA,2007,0.0,0.0
IA,2008,0.0,0.0
IA,2009,0.0,0.0
IA,2010,0.005025125628140704,1.0
IA,2011,0.004555808656036446,2.0
IA,2012,0.015283842794759825,7.0
IA,2013,0.0,0.0
IA,2014,0.0,0.0
IA,2015,0.009708737864077669,5.0
ID,1992,3.0347776510832385,5323.0
ID,1993,1.3353293413173652,669.0
ID,1994,2.5108910891089113,6340.0
ID,1995,2.2124789207419897,2624.0
ID,1996,2.6590636254501803,4430.0
ID,1997,2.9545454545454546,2665.0
ID,1998,3.3769338959212383,4802.0
ID,1999,4.815394651011089,7382.0
ID,2000,6.958304853041695,10180.0
ID,2001,1.87950937950938,2605.0
ID,2002,2.9836321122369447,3828.0
ID,2003,8.552142857142858,11973.0
ID,2004,2.9695652173913043,2732.0
ID,2005,8.765698219306469,9353.0
ID,2006,7.258620689655173,10946.0
ID,2007,8.39247311827957,10927.0
ID,2008,5.308974358974359,4141.0
ID,2009,5.7936507936507935,6935.0
ID,2010,6.616016427104722,6444.0
ID,2011,3.780769230769231,4915.0
ID,2012,5.823628691983122,6901.0
ID,2013,4.399691358024692,5702.0
ID,2014,4.1673605328892585,5005.0
ID,2015,4.915477497255763,4478.0
IL,1992,0.125,2.0
IL,1993,5.8,29.0
IL,1994,0.12,3.0
IL,1995,0.3617021276595745,17.0
IL,1996,0.1,2.0
IL,1997,0.0,0.0
IL,1998,0.0,0.0
IL,1999,0.1111111111111111,5.0
IL,2000,0.8965517241379308,26.0
IL,2001,0.4117647058823529,14.0
IL,2002,0.16666666666666666,5.0
IL,2003,0.2307692307692308,3.0
IL,2004,0.05555555555555555,2.0
IL,2005,0.32142857142857145,9.0
IL,2006,0.08695652173913042,2.0
IL,2007,0.21212121212121213,7.0
IL,2008,0.010256410256410256,2.0
IL,2009,0.13043478260869565,6.0
IL,2010,0.11185682326621924,50.0
IL,2011,0.06716417910447761,9.0
IL,2012,1.5460122699386505,252.0
IL,2013,1.195121951219512,49.0
IL,2014,0.017777777777777778,4.0
IL,2015,0.3398058252427185,35.0
IN,1992,0.02197802197802198,2.0
IN,1993,0.08695652173913042,4.0
IN,1994,0.06097560975609756,5.0
IN,1995,0.02,2.0
IN,1996,0.022727272727272728,2.0
IN,1997,0.027777777777777776,1.0
IN,1998,0.08928571428571429,5.0
IN,1999,0.06,9.0
IN,2000,0.05434782608695652,5.0
IN,2001,0.11904761904761905,15.0
IN,2002,0.056338028169014086,4.0
IN,2003,0.08333333333333333,5.0
IN,2004,0.06349206349206349,4.0
IN,2005,0.0,0.0
IN,2006,0.17857142857142858,5.0
IN,2007,0.17073170731707318,7.0
IN,2008,0.0,0.0
IN,2009,0.022222222222222227,1.0
IN,2010,0.2777777777777778,20.0
IN,2011,0.19230769230769232,5.0
IN,2012,0.2280701754385965,13.0
IN,2013,0.1,2.0
IN,2014,0.08333333333333333,3.0
IN,2015,0.2857142857142857,4.0
KS,1992,0.0,0.0
KS,1993,0.0,0.0
KS,1994,0.037037037037037035,1.0
KS,1995,0.0,0.0
KS,1996,0.0625,1.0
KS,1997,0.0,0.0
KS,1998,0.3,6.0
KS,1999,0.1176470588235294,2.0
KS,2000,0.07692307692307693,3.0
KS,2001,1.0,41.0
KS,2002,0.5,20.0
KS,2003,0.32142857142857145,9.0
KS,2004,0.16666666666666666,2.0
KS,2005,0.2711864406779661,16.0
KS,2006,0.6808510638297872,64.0
KS,2007,0.4137931034482759,24.0
KS,2008,0.21052631578947367,12.0
KS,2009,2.0142857142857142,141.0
KS,2010,0.475,19.0
KS,2011,0.7454545454545455,41.0
KS,2012,6.596774193548387,409.0
KS,2013,1.2857142857142858,18.0
KS,2014,4.666666666666667,140.0
KS,2015,0.016874041247656384,99.0
KY,1992,0.7959183673469388,39.0
KY,1993,0.5185185185185185,42.0
KY,1994,1.915730337078652,341.0
KY,1995,1.7262569832402237,309.0
KY,1996,0.6111111111111112,44.0
KY,1997,0.8974358974358975,35.0
KY,1998,1.4166666666666667,136.0
KY,1999,2.0416666666666665,441.0
KY,2000,1.853846153846154,241.0
KY,2001,2.9423076923076925,459.0
KY,2002,0.14736842105263154,154.0
KY,2003,0.8529411764705882,29.0
KY,2004,1.0163934426229508,62.0
KY,2005,0.8695652173913043,80.0
KY,2006,1.0105263157894735,96.0
KY,2007,0.3950024026910139,822.0
KY,2008,0.30518234165067176,477.0
KY,2009,0.3093727977448908,439.0
KY,2010,0.18890633176347466,361.0
KY,2011,0.06019417475728155,62.0
KY,2012,1.2807017543859651,511.0
KY,2013,0.3862487360970677,382.0
KY,2014,1.2850971922246222,595.0
KY,2015,0.3870094722598105,286.0
LA,1992,0.125,8.0
LA,1993,0.09411764705882353,8.0
LA,1994,0.2,17.0
LA,1995,0.15254237288135594,18.0
LA,1996,0.10852713178294572,14.0
LA,1997,0.3692307692307693,24.0
LA,1998,0.2380952380952381,20.0
LA,1999,0.17272727272727273,19.0
LA,2000,0.8238341968911918,159.0
LA,2001,0.1914893617021277,9.0
LA,2002,0.04838709677419355,3.0
LA,2003,1.075268817204301,100.0
LA,2004,5.705128205128204,445.0
LA,2005,0.7382550335570469,110.0
LA,2006,0.6271186440677966,74.0
LA,2007,2.9354838709677415,182.0
LA,2008,0.5909090909090909,52.0
LA,2009,1.5081967213114753,92.0
LA,2010,0.6274509803921569,96.0
LA,2011,0.7641509433962265,162.0
LA,2012,0.37333333333333335,28.0
LA,2013,0.3725490196078432,19.0
LA,2014,1.1052631578947372,63.0
LA,2015,0.029665071770334932,31.0
MA,1992,0.0,0.0
MA,1993,0.0,0.0
MA,1994,0.0,0.0
MA,1995,0.0,0.0
MA,1996,0.3333333333333333,1.0
MA,1997,0.0,0.0
MA,1998,0.0,0.0
MA,1999,0.0,0.0
MA,2000,0.0,0.0
MA,2001,0.2,1.0
MA,2002,3.0,6.0
MA,2003,0.0,0.0
MA,2004,0.16666666666666666,1.0
MA,2005,0.5,2.0
MA,2006,0.0,0.0
MA,2007,0.0,0.0
MA,2008,3.0,12.0
MA,2009,0.0,0.0
MA,2010,1.3333333333333333,4.0
MA,2012,0.0,0.0
MA,2013,0.0,0.0
MA,2014,0.0,0.0
MA,2015,0.012529002320185615,27.0
MD,1992,0.0,0.0
MD,1993,0.0,0.0
MD,1994,0.125,2.0
MD,1995,0.09375,3.0
MD,1996,0.0,0.0
MD,1997,0.2222222222222222,4.0
MD,1998,0.2,3.0
MD,1999,0.1153846153846154,3.0
