STATE,FIRE_YEAR,AVERAGE_FIRE_SIZE,TOTAL_FIRE_SIZE
CO,2013,41.63590909091365,162130.23000001776
CO,2014,40.95242122719679,24694.309999999663
CO,2015,38.58265651438251,22802.35000000006
CT,1992,2.307178217821785,466.05000000000064
CT,1993,3.8941747572815535,401.1
CT,1994,3.2522413793103553,943.1500000000027
CT,1995,3.885454545454546,427.40000000000015
CT,1996,2.4611111111111112,66.45
CT,1997,7.233132530120482,600.35
CT,1998,4.3966666666666665,131.89999999999998
CT,1999,5.63117845117845,1672.46
CT,2000,3.907142857142858,492.3000000000001
CT,2001,3.5995169082125607,745.1
CT,2002,1.763177570093457,188.65999999999997
CT,2003,1.442105263157894,136.99999999999994
CT,2004,0.8419540229885047,73.2499999999999
CT,2005,0.8694539249146735,254.74999999999932
CT,2006,1.165322580645164,433.50000000000114
CT,2007,0.8490936555891239,281.05
CT,2008,5.616939890710355,2055.7999999999897
CT,2009,0.9526459143968852,244.82999999999947
CT,2010,1.0909808612440204,456.03000000000054
CT,2011,1.0457268722466941,237.3799999999995
CT,2012,0.8980902777777879,517.3000000000059
CT,2015,1.1223118279569924,417.50000000000114
DC,1992,0.13333333333333333,0.4
DC,1993,1.4,9.8
DC,1994,1.275,5.1000000000000005
DC,1995,0.12,0.6
DC,1997,0.10000000000000002,0.30000000000000004
DC,1998,0.3384615384615384,4.4
DC,1999,0.2625,2.1
DC,2001,0.1,0.1
DC,2002,1.0,1.0
DC,2005,0.1,0.2
DC,2006,0.16666666666666666,0.5
DC,2007,0.2,0.2
DC,2008,0.1,0.1
DC,2009,0.5,0.5
DC,2010,0.1,0.1
DC,2011,0.1,0.2
DC,2012,0.8800000000000001,4.4
DC,2013,0.1,0.1
DC,2014,0.2,0.2
DC,2015,0.7333333333333334,2.2
DE,1992,41.333333333333336,124.0
DE,1993,1.0,1.0
DE,1994,48.0,96.0
DE,1995,402.88,2014.4
DE,1997,4.92,24.6
DE,1999,253.5,507.0
DE,2000,65.0,65.0
DE,2001,10.5,10.5
DE,2002,32.566666666666606,1270.099999999998
DE,2003,12.633333333333335,265.30000000000007
DE,2004,5.2111111111111095,140.69999999999996
DE,2005,11.957142857142856,167.39999999999995
DE,2007,0.1,0.2
DE,2010,3.0,3.0
DE,2012,2.097368421052632,39.85
DE,2013,2.2611111111111106,20.35
DE,2014,1.6666666666666667,5.0
DE,2015,4.953125,79.25
FL,1992,22.56743249644731,95279.70000000056
FL,1993,17.536323658751076,79755.1999999999
FL,1994,29.20266288951867,103085.4000000009
FL,1995,17.791180163213845,56682.699999999306
FL,1996,22.88939748775845,107511.50000000148
FL,1997,34.03985173824147,133163.9000000006
FL,1998,78.47922293787389,377720.499999987
FL,1999,75.37381473376745,413349.9999999807
FL,2000,37.33699030620219,242653.100000008
FL,2001,84.24831184775937,411721.50000000006
FL,2002,19.7875758543595,61954.8999999996
FL,2003,21.774660465116213,46815.519999999866
FL,2004,56.47618021006179,204330.8200000036
FL,2005,16.573891440500894,39694.46999999965
FL,2006,49.57461192179913,253574.13998000254
FL,2007,119.18136630420338,546923.2899699893
FL,2008,59.41782927214253,184492.35989000247
FL,2009,47.92232758952316,144533.74001000184
FL,2010,26.495659502738928,62874.199999999495
FL,2011,65.85321137402856,331175.7999999896
FL,2012,44.72650144834356,138965.24000000342
FL,2013,35.64828016643625,77107.23000000161
FL,2014,72.94142257462741,156386.41000000114
FL,2015,65.54024332810047,166996.54
GA,1992,4.182748103421578,27016.36999999998
GA,1993,4.446887279113127,40515.589999999705
GA,1994,3.7991934993924272,25013.88999999974
GA,1995,3.0698443775099977,24460.519999999662
GA,1996,3.846828403565643,37975.89000000003
GA,1997,3.028495991152829,21908.139999999566
GA,1998,6.288149568552092,45909.779999998835
GA,1999,6.564194648949388,73111.9999999983
GA,2000,6.026271684519839,63571.1399999998
GA,2001,5.571981821980727,53335.009999999515
GA,2002,21.385804715530526,166894.82000000018
GA,2003,2.521869936501013,11517.380000000127
GA,2004,4.33231573274266,35208.7299599996
GA,2005,3.2160671185320027,19453.99000000008
GA,2006,4.248423530532169,37917.18000999961
GA,2007,37.56567742686686,327460.01012999844
GA,2008,4.458794554847585,25892.21997999992
GA,2009,4.260256221264372,17790.829980000017
GA,2010,3.9816751787538096,23388.359999999877
GA,2011,52.045351794627116,437909.5899999926
GA,2012,5.139345322287272,25434.619999999708
GA,2013,4.510255227552318,14667.350000000139
GA,2014,5.467848880137828,22215.869999999995
GA,2015,4.8364755838641615,11389.900000000105
HI,1992,144.95194805194808,11161.300000000005
HI,1993,183.0,2562.0
HI,1994,8.733333333333333,78.6
HI,1995,102.75,1027.5
HI,1996,47.53750000000001,380.30000000000007
HI,1997,4.333333333333334,52.00000000000001
HI,1998,1218.2769230769231,31675.2
HI,1999,1681.0555555555554,15129.5
HI,2000,436.12307692307695,5669.6
HI,2001,4.155742049469917,2352.1499999999733
HI,2002,12.176562500000205,7013.700000000118
HI,2003,25.821041445270215,24297.59999999928
HI,2004,5.678748180494857,3901.2999999999656
HI,2005,36.73880837359115,45629.60000000022
HI,2006,17.105386565272692,13496.150000000154
HI,2007,41.1567946058092,39675.15000000007
HI,2008,7.96962288686609,6128.640000000023
HI,2009,14.463725490196145,11802.40000000005
HI,2010,15.460182926829436,15212.820000000163
HI,2011,8.175091210613664,4929.580000000039
HI,2012,6.985588235294255,4987.710000000098
HI,2013,12.69,761.4000000000002
HI,2014,0.1,0.2
HI,2015,1209.15,4836.6
IA,1992,17.06,85.3
IA,1993,5.116666666666667,30.700000000000006
IA,1994,21.08,105.4
IA,1995,9.566666666666666,57.4
IA,1996,36.65714285714286,1026.4
IA,1997,9.3,93.0
IA,1998,23.33333333333333,70.0
IA,1999,21.78,435.6
IA,2000,91.3,1734.7
IA,2001,8.5,85.0
IA,2002,5.235294117647058,267.0
IA,2003,66.66,3333.0
IA,2004,22.209999999999994,1110.4999999999998
IA,2005,191.2382352941177,6502.1
IA,2006,12.151651583710407,5371.030000000002
IA,2007,5.885055944055942,841.5629999999999
IA,2008,11.181854304635761,1688.4599999999996
IA,2009,11.323293447293453,7948.952000000002
IA,2010,12.085135678391955,2404.941999999999
IA,2011,16.99642938496584,7461.432500000003
IA,2012,8.700897379912668,3985.011000000002
IA,2013,9.947818930041151,2417.32
IA,2014,19.37914364640884,10522.875000000002
IA,2015,26.913497292069632,13914.2781
ID,1992,311.917494305234,684658.8999999885
ID,1993,11.430085959885465,7978.200000000057
ID,1994,218.5340527577879,729029.5999999804
ID,1995,187.4956734124195,268681.29999999714
ID,1996,454.23500506585367,896659.899999995
ID,1997,37.966725663716566,42902.39999999971
ID,1998,86.0633105802056,151299.30000000144
ID,1999,217.21598121085253,416185.81999999343
ID,2000,772.3193138936621,1350786.4800000149
ID,2001,114.55830065359571,192801.6200000016
ID,2002,57.05569159497097,86211.15000000113
ID,2003,202.8383886541914,336103.20999999513
ID,2004,16.715114235500664,19021.79999999976
ID,2005,567.2259440559428,648906.4799999987
ID,2006,482.4080884533866,910786.4709999937
ID,2007,1374.8623285085112,2184656.240000024
ID,2008,177.67784989858143,175190.3600000013
ID,2009,19.956519198664214,23907.90999999973
ID,2010,559.8853565217388,643868.1599999997
ID,2011,310.58349772382286,409349.0499999986
ID,2012,1492.9406139613236,1775106.390000014
ID,2013,472.7493614303909,740325.4999999921
ID,2014,163.6975884773666,198892.57000000039
ID,2015,619.4409631949836,791026.109999994
IL,1992,13.077777777777774,235.4
IL,1993,5.960000000000001,29.800000000000004
IL,1994,14.211111111111109,383.7
IL,1995,21.131914893617026,993.2000000000003
IL,1996,7.133333333333334,149.8
IL,1997,1.37,13.7
IL,1998,7.513636363636363,165.29999999999995
IL,1999,9.381132075471696,497.19999999999993
IL,2000,20.593103448275865,597.2
IL,2001,11.802222222222225,531.1000000000001
IL,2002,2.3441860465116267,100.79999999999997
IL,2003,33.26979166666667,1596.95
IL,2004,9.95011363636364,875.6100000000004
IL,2005,15.815322580645162,980.5500000000003
IL,2006,8.035294117647059,273.2
IL,2007,8.392929292929294,830.9000000000002
IL,2008,4.771015228426402,939.8900000000008
IL,2009,9.404610951008634,3263.3999999999955
IL,2010,5.771128318584057,2608.549999999993
IL,2011,16.349485294117653,2223.53
IL,2012,8.120658682634733,1356.1500000000005
IL,2013,3.364090909090909,148.02
IL,2014,10.669889867841409,2422.065
IL,2015,15.014150943396222,1591.4999999999993
IN,1992,2.60315789473684,247.29999999999973
IN,1993,8.291071428571438,464.3000000000005
IN,1994,6.7988235294117745,577.9000000000009
IN,1995,8.726732673267334,881.4000000000008
IN,1996,5.6250000000000115,495.00000000000114
IN,1997,2.305555555555553,82.9999999999999
IN,1998,3.0701754385964883,174.9999999999998
IN,1999,5.0609271523178885,764.2000000000012
IN,2000,7.694565217391308,707.9000000000003
IN,2001,8.34,1167.6
IN,2002,6.229268292682932,766.2000000000007
IN,2003,9.187096774193535,1423.9999999999973
IN,2004,4.071036269430058,785.7100000000012
IN,2005,3.3265895953757316,575.5000000000015
IN,2006,11.480813953488367,987.3499999999997
IN,2007,16.606377952755903,2109.01
IN,2008,2.140298507462686,143.39999999999995
IN,2009,2.4244444444444424,109.09999999999992
IN,2010,21.508219178082186,1570.0999999999995
IN,2011,26.903846153846153,699.5
IN,2012,18.28421052631579,1042.2
IN,2013,37.06,741.2
IN,2014,3.672777777777776,132.21999999999994
IN,2015,42.1125,673.8000000000002
KS,1992,15.724999999999998,251.6
KS,1993,129.2357142857143,1809.3
KS,1994,1797.0234042553193,84460.1
KS,1995,151.26333333333332,4537.9
KS,1996,4919.013333333333,147570.4
KS,1997,518.6545454545455,11410.4
KS,1998,167.97096774193545,5207.1
KS,1999,181.4333333333333,6531.5999999999985
KS,2000,192.07916666666665,9219.8
KS,2001,38.58405797101449,2662.3
KS,2002,512.0625,65544.0
KS,2003,71.09911504424777,8034.199999999998
KS,2004,22.10131578947369,1679.7000000000005
KS,2005,130.98571428571432,22922.50000000001
KS,2006,227.50114942528745,79170.40000000002
KS,2007,85.39137755102037,16736.709999999995
KS,2008,789.8744680851064,74248.2
KS,2009,548.8056338028168,38965.2
KS,2010,627.72025,25108.81
KS,2011,1635.8948214285713,91610.11
KS,2012,785.3442465753426,57330.13
KS,2013,490.5,6867.0
KS,2014,619.0813559322036,36525.8
KS,2015,21.099123662305747,124210.54099999393
KY,1992,12.336734693877547,604.4999999999999
KY,1993,10.408641975308642,843.1
KY,1994,26.183146067415727,4660.5999999999985
KY,1995,32.57555555555556,5863.6
KY,1996,15.525000000000002,1117.8000000000004
KY,1997,17.204,11612.7
KY,1998,26.08808777429467,24966.3
KY,1999,66.86205428419372,125633.8
KY,2000,85.83528670447387,136220.60000000006
KY,2001,84.99728287239212,175179.4000000002
KY,2002,24.62609523809524,25857.4
KY,2003,20.76234309623429,19848.79999999998
KY,2004,18.346163166397396,22712.54999999998
KY,2005,31.960891845979567,56442.93499999991
KY,2006,28.467261146496774,53632.319999999934
KY,2007,31.53013935607881,65614.22
KY,2008,24.897728726807426,38915.15
KY,2009,30.651804087385486,43494.91
KY,2010,31.47383690538421,60209.45
KY,2011,23.13394379844961,23874.23
KY,2012,25.835732383214516,32630.529999999933
KY,2013,22.920259222333,22989.02
KY,2014,29.244017977869984,42286.849996
KY,2015,26.03177248677248,19680.02
LA,1992,288.84022988505745,25129.1
LA,1993,63.518110236220465,8066.799999999998
LA,1994,22.70810810810811,2520.600000000001
LA,1995,52.3589928057554,7277.9000000000015
LA,1996,52.5738853503185,8254.100000000004
LA,1997,15.906686260102775,21648.99999999988
LA,1998,14.947963206307378,34126.199999999735
LA,1999,13.494619799139011,37622.99999999956
LA,2000,21.518540387340817,91109.50000000102
LA,2001,27.230635245901407,26577.09999999978
LA,2002,16.667994598244363,24685.2999999999
LA,2003,184.6787234042553,17359.799999999996
LA,2004,193.77564102564102,15114.500000000002
LA,2005,19.617346926713946,66385.102
LA,2006,13.409134461833279,41984.0
LA,2007,12.253968253968255,772.0000000000001
LA,2008,16.913440417246164,24321.527319999987
LA,2009,22.90034056874186,35312.32515699995
LA,2010,18.078958205870176,43732.99989999996
LA,2011,174.37285714285713,37838.91
LA,2012,11.994549600912206,10519.220000000003
LA,2013,21.167004837209298,22754.530199999994
LA,2014,42.90267659817358,37582.74470000005
LA,2015,18.909445302325576,20327.6537
MA,1992,0.7714285714285715,5.4
MA,1993,0.375,1.5
MA,1994,0.1,0.1
MA,1995,0.58,8.7
MA,1996,0.55,2.2
MA,1997,0.4909090909090909,5.4
MA,1998,3.0,3.0
MA,1999,0.21428571428571427,1.5
MA,2000,1.9333333333333331,5.8
MA,2001,15.841176470588234,269.3
MA,2002,4.453043478260869,512.0999999999998
MA,2003,5.24,393.0
MA,2004,2.8666666666666667,197.8
MA,2005,27.69,830.7
MA,2006,0.7483870967741939,23.20000000000001
MA,2007,6.041176470588236,205.4
MA,2008,70.70833333333333,848.5
MA,2009,1.0,1.0
MA,2010,107.4,322.2
MA,2012,0.5800000000000001,2.9000000000000004
MA,2013,3.5200000000000005,17.6
MA,2014,62.2,373.2
MA,2015,0.9650829493087536,2094.229999999995
MD,1992,96.69166666666666,1160.3
MD,1993,152.0818181818182,1672.9
MD,1994,49.18125000000001,786.9000000000002
MD,1995,40.7625,1304.4
MD,1996,18.358823529411765,312.1
MD,1997,9.56315789473684,181.7
MD,1998,32.0,544.0
MD,1999,47.814705882352925,1625.6999999999994
MD,2000,14.978571428571426,209.7
MD,2001,267.2318181818182,5879.1
MD,2002,127.57857142857141,1786.1
MD,2003,274.62,1373.1
MD,2004,301.83333333333337,6338.500000000001
MD,2005,9.673621103117467,4033.899999999984
MD,2006,9.516016713092057,6832.500000000096
MD,2007,12.232107023411519,7314.8000000000875
MD,2008,5.2718867924527935,2794.09999999998
MD,2009,17.65095785440626,4606.900000000034
MD,2010,21.31309523809523,3580.599999999999
MD,2011,77.04796992481211,10247.38000000001
MD,2012,8.833742331288342,1439.9
MD,2013,3.384645669291342,429.85000000000036
MD,2014,14.480487804878035,1781.0999999999985
MD,2015,6.9600000000000035,1044.0000000000007
ME,1992,7.200163666121137,4399.300000000016
ME,1993,2.102901785714277,1413.149999999994
ME,1994,3.720314232902016,2012.6899999999907
ME,1995,1.1807684319833855,1137.0800000000004
ME,1996,1.28047619047619,403.3499999999999
ME,1997,1.5329401709401782,896.7700000000043
ME,1998,2.6686551724137777,1547.819999999991
