STATE,FIRE_YEAR,FIRE_SIZE,FIRE_SIZE_CLASS,DISCOVERY_DATE
CA,2005,0.25,A,2005-10-17
NM,2005,0.25,A,2005-07-29
ID,2005,0.25,A,2005-10-20
NM,2005,0.25,A,2005-08-05
AZ,2005,0.25,A,2005-06-29
AZ,2005,0.25,A,2005-07-08
AR,2005,99.0,C,2005-11-24
AZ,2005,9.0,B,2005-07-15
MT,2005,9.8,B,2005-08-08
KY,2005,0.25,A,2005-11-28
AZ,2005,0.25,A,2005-07-21
AZ,2005,0.25,A,2005-10-28
NM,2004,0.25,A,2004-05-12
AZ,2005,0.25,A,2005-06-27
UT,2005,0.25,A,2005-07-16
NM,2005,0.25,A,2005-07-15
KY,2005,92.0,C,2005-11-07
NM,2005,0.25,A,2005-07-17
NM,2005,0.25,A,2005-10-21
CA,2005,0.25,A,2005-08-08
MT,2005,0.25,A,2005-07-30
MT,2005,0.25,A,2005-07-31
AR,2005,9.0,B,2005-11-29
MT,2005,0.25,A,2005-08-01
MT,2005,0.25,A,2005-08-03
NM,2005,0.25,A,2005-08-03
NM,2005,0.25,A,2005-07-19
NM,2005,0.25,A,2005-08-09
NM,2005,0.25,A,2005-07-24
CA,2005,0.25,A,2005-07-02
TX,2005,9.0,B,2005-07-06
TX,2005,0.25,A,2005-07-10
NM,2005,0.25,A,2005-07-20
NM,2005,0.25,A,2005-07-22
TX,2005,9.0,B,2005-09-23
NM,2005,0.25,A,2005-07-23
NM,2005,0.25,A,2005-07-14
WA,2005,0.25,A,2005-08-12
WA,2005,0.25,A,2005-08-14
WA,2005,0.25,A,2005-08-14
MN,2005,0.25,A,2005-08-15
NC,2005,98.0,C,2005-03-06
GA,2005,9.0,B,2005-03-26
AZ,2005,0.25,A,2005-06-10
AZ,2005,0.25,A,2005-06-19
WY,2005,0.25,A,2005-06-17
NC,2005,0.25,A,2005-11-12
WY,2005,0.25,A,2005-07-11
AZ,2005,95.0,C,2005-06-24
AZ,2005,0.25,A,2005-07-03
WY,2005,0.25,A,2005-07-11
AZ,2005,0.25,A,2005-06-24
AZ,2005,0.25,A,2005-06-27
WY,2005,0.25,A,2005-07-17
WY,2005,0.25,A,2005-07-23
WY,2005,0.25,A,2005-07-30
OK,2005,0.25,A,2005-08-13
TX,2005,0.25,A,2005-10-15
UT,2005,0.25,A,2005-09-09
AL,2005,0.25,A,2005-01-11
UT,2005,0.25,A,2005-09-30
MN,2005,0.25,A,2005-04-12
WA,2005,0.25,A,2005-08-10
WA,2005,0.25,A,2005-04-15
WA,2005,0.25,A,2005-08-11
MO,2005,0.25,A,2005-12-07
NM,2005,0.25,A,2005-09-01
NM,2005,0.25,A,2005-09-11
NM,2005,0.25,A,2005-09-23
NM,2005,0.25,A,2005-09-24
WA,2005,0.25,A,2005-09-02
WA,2005,0.25,A,2005-08-10
WA,2005,0.25,A,2005-08-10
CA,2005,0.25,A,2005-07-04
CO,2005,0.25,A,2005-07-18
CA,2005,0.25,A,2005-10-05
WA,2005,0.25,A,2005-06-21
WA,2005,0.25,A,2005-06-21
LA,2005,9.0,B,2005-11-15
CO,2005,0.25,A,2005-12-15
MI,2005,0.25,A,2005-07-17
CO,2005,0.25,A,2005-07-23
CO,2005,0.25,A,2005-09-10
SC,2005,0.25,A,2005-01-18
AZ,2005,295.0,D,2005-07-17
AZ,2005,0.25,A,2005-07-17
CA,2005,0.25,A,2005-12-14
CA,2005,0.25,A,2005-12-31
SC,2005,8.7,B,2005-01-20
AR,2005,9.3,B,2005-01-26
AR,2005,0.25,A,2005-12-22
AR,2005,98.0,C,2005-12-17
MS,2005,0.25,A,2005-01-18
AZ,2005,0.25,A,2005-07-23
NM,2006,0.25,A,2006-01-14
MS,2005,0.25,A,2005-03-08
AK,2005,0.25,A,2005-05-08
AR,2006,9.0,B,2006-01-19
MS,2005,95.0,C,2005-03-12
MS,2005,8.87,B,2005-04-24
MS,2005,9.0,B,2005-05-28
MS,2005,0.25,A,2005-10-12
MS,2005,9.0,B,2005-09-22
MS,2005,0.25,A,2005-08-16
MS,2005,0.25,A,2005-09-09
MS,2005,0.25,A,2005-10-09
MS,2005,0.25,A,2005-10-10
MS,2005,0.25,A,2005-10-11
MS,2005,0.25,A,2005-10-26
MS,2005,0.25,A,2005-11-18
MS,2005,0.25,A,2005-11-24
TX,2005,95.0,C,2005-08-18
AZ,2005,0.25,A,2005-05-04
AZ,2005,0.25,A,2005-04-08
CA,2006,0.25,A,2006-01-08
MO,2006,8.62,B,2006-02-27
KY,2006,0.25,A,2006-03-02
CA,2006,0.25,A,2006-01-22
NC,2006,0.25,A,2006-03-04
NC,2006,0.25,A,2006-03-05
CA,2006,0.25,A,2006-02-14
MO,2006,0.25,A,2006-03-01
SC,2006,0.25,A,2006-01-14
AZ,2006,0.25,A,2006-01-28
MO,2006,0.25,A,2006-03-02
SC,2006,0.25,A,2006-02-10
TX,2006,0.25,A,2006-01-08
KY,2006,0.25,A,2006-02-24
AR,2006,9.5,B,2006-03-07
NM,2006,0.25,A,2006-02-28
NC,2006,0.25,A,2006-03-13
FL,2006,0.25,A,2006-03-04
MS,2006,98.0,C,2006-01-05
GA,2006,9.0,B,2006-02-28
MS,2006,9.0,B,2006-01-07
MS,2006,9.0,B,2006-01-08
AR,2006,95.0,C,2006-03-17
NC,2006,0.25,A,2006-03-15
SC,2006,9.7,B,2006-02-28
AZ,2006,0.25,A,2006-03-25
SC,2006,9.87,B,2006-03-17
SC,2006,9.58,B,2006-03-18
NC,2006,0.25,A,2006-02-26
MO,2006,96.0,C,2006-03-25
KY,2006,0.25,A,2006-03-05
FL,2006,0.25,A,2006-03-15
MI,2006,0.25,A,2006-03-17
MO,2006,8.8,B,2006-04-07
MI,2006,0.25,A,2006-04-11
TX,2006,96.0,C,2006-03-08
KY,2006,0.25,A,2006-04-14
AZ,2005,0.25,A,2005-05-20
AZ,2005,0.25,A,2005-06-21
TX,2006,427696.0,G,2006-03-12
GA,2006,9.7,B,2006-04-15
KY,2006,9.0,B,2006-03-07
MS,2006,9.5,B,2006-03-09
GA,2006,0.25,A,2006-04-13
GA,2006,0.25,A,2006-04-14
MS,2006,9.0,B,2006-03-11
AR,2006,94.3,C,2006-04-07
GA,2006,99.0,C,2006-04-13
MO,2006,0.25,A,2006-03-30
MO,2006,0.25,A,2006-03-30
AZ,2006,0.25,A,2006-04-04
OK,2006,0.25,A,2006-04-15
KY,2006,94.0,C,2006-04-15
AZ,2006,0.25,A,2006-04-08
SC,2006,0.25,A,2006-04-19
NM,2006,0.25,A,2006-05-06
OR,2006,0.25,A,2006-05-02
SC,2005,0.25,A,2005-02-18
NC,2006,0.25,A,2006-03-04
NC,2006,96.0,C,2006-04-05
NM,2006,0.25,A,2006-05-13
AZ,2006,0.25,A,2006-05-17
AZ,2006,0.25,A,2006-05-19
AZ,2006,0.25,A,2006-05-19
NM,2006,0.25,A,2006-05-16
NM,2006,0.25,A,2006-05-14
CA,2006,0.25,A,2006-04-09
ID,2006,0.25,A,2006-05-19
AZ,2006,0.25,A,2006-05-21
NM,2006,0.25,A,2006-05-15
AZ,2006,0.25,A,2006-05-18
CA,2006,0.25,A,2006-04-29
MT,2006,0.25,A,2006-05-16
NM,2006,0.25,A,2006-05-18
CA,2006,0.25,A,2006-05-13
MT,2006,0.25,A,2006-06-01
NM,2006,0.25,A,2006-05-22
NM,2006,0.25,A,2006-05-23
FL,2006,0.25,A,2006-04-07
MO,2006,9.0,B,2006-04-21
NM,2006,0.25,A,2006-06-02
MT,2006,0.25,A,2006-04-23
FL,2006,0.25,A,2006-04-18
NM,2006,0.25,A,2006-05-23
NM,2006,0.25,A,2006-05-23
CO,2006,0.25,A,2006-04-14
NM,2006,0.25,A,2006-06-06
FL,2006,8.5,B,2006-04-24
SC,2006,0.25,A,2006-05-29
FL,2006,0.25,A,2006-05-26
FL,2006,0.25,A,2006-05-26
NM,2006,0.25,A,2006-06-07
AZ,2006,0.25,A,2006-02-27
CO,2006,0.25,A,2006-05-20
AZ,2006,0.25,A,2006-04-19
NM,2006,0.25,A,2006-05-23
NM,2006,0.25,A,2006-06-10
AZ,2006,0.25,A,2006-06-15
CA,2006,0.25,A,2006-06-16
CO,2006,0.25,A,2006-06-02
