STATE,FIRE_SIZE,FIRE_SIZE_CLASS,DISCOVERY_DATE
AZ,0.25,A,2005/10/28
NM,0.25,A,2004/5/12
AZ,0.25,A,2005/6/27
UT,0.25,A,2005/7/16
NM,0.25,A,2005/7/15
NM,0.25,A,2005/7/17
NM,0.25,A,2005/10/21
CA,0.25,A,2005/8/8
MT,0.25,A,2005/7/30
MT,0.25,A,2005/7/31
MT,0.25,A,2005/8/1
MT,0.25,A,2005/8/3
NM,0.25,A,2005/8/3
NM,0.25,A,2005/7/19
NM,0.25,A,2005/8/9
NM,0.25,A,2005/7/24
CA,0.25,A,2005/7/2
TX,0.25,A,2005/7/10
NM,0.25,A,2005/7/20
NM,0.25,A,2005/7/22
NM,0.25,A,2005/7/23
NM,0.25,A,2005/7/14
WA,0.25,A,2005/8/12
WA,0.25,A,2005/8/14
WA,0.25,A,2005/8/14
MN,0.25,A,2005/8/15
AZ,0.25,A,2005/6/10
AZ,0.25,A,2005/6/19
WY,0.25,A,2005/6/17
NC,0.25,A,2005/11/12
WY,0.25,A,2005/7/11
AZ,0.25,A,2005/7/3
WY,0.25,A,2005/7/11
AZ,0.25,A,2005/6/24
AZ,0.25,A,2005/6/27
WY,0.25,A,2005/7/17
WY,0.25,A,2005/7/23
WY,0.25,A,2005/7/30
OK,0.25,A,2005/8/13
TX,0.25,A,2005/10/15
UT,0.25,A,2005/9/9
AL,0.25,A,2005/1/11
UT,0.25,A,2005/9/30
MN,0.25,A,2005/4/12
WA,0.25,A,2005/8/10
WA,0.25,A,2005/4/15
WA,0.25,A,2005/8/11
MO,0.25,A,2005/12/7
NM,0.25,A,2005/9/1
NM,0.25,A,2005/9/11
NM,0.25,A,2005/9/23
NM,0.25,A,2005/9/24
WA,0.25,A,2005/9/2
WA,0.25,A,2005/8/10
WA,0.25,A,2005/8/10
CA,0.25,A,2005/7/4
CO,0.25,A,2005/7/18
CA,0.25,A,2005/10/5
WA,0.25,A,2005/6/21
WA,0.25,A,2005/6/21
CO,0.25,A,2005/12/15
MI,0.25,A,2005/7/17
CO,0.25,A,2005/7/23
CO,0.25,A,2005/9/10
SC,0.25,A,2005/1/18
AZ,0.25,A,2005/7/17
CA,0.25,A,2005/12/14
CA,0.25,A,2005/12/31
AR,0.25,A,2005/12/22
MS,0.25,A,2005/1/18
AZ,0.25,A,2005/7/23
NM,0.25,A,2006/1/14
MS,0.25,A,2005/3/8
AK,0.25,A,2005/5/8
MS,0.25,A,2005/10/12
MS,0.25,A,2005/8/16
MS,0.25,A,2005/9/9
MS,0.25,A,2005/10/9
MS,0.25,A,2005/10/10
MS,0.25,A,2005/10/11
MS,0.25,A,2005/10/26
